Date,Under 25,25 to 34,35 to 44,45 to 54,55 to 64,65 to 74,Over 75
18 Jun 2024,163759,191789,109092,70368,58869,26821,12159
17 Jun 2024,52115,56202,27523,15299,12575,6100,3435
16 Jun 2024,26618,27127,14328,9050,7367,3169,1645
15 Jun 2024,24412,25391,13533,8048,6602,3159,1582
14 Jun 2024,30383,34829,19616,12677,11544,6373,3324
13 Jun 2024,75605,103678,63211,38458,30366,13710,5584
12 Jun 2024,31009,32066,19766,13635,13116,7383,3837
11 Jun 2024,25245,29857,19262,13692,13210,7514,3798
10 Jun 2024,20767,26180,15983,10911,10412,5854,3011
9 Jun 2024,13372,17493,10192,6535,5784,2889,1387
8 Jun 2024,12362,16103,10000,5978,5148,2740,1374
7 Jun 2024,15657,20313,12410,7522,6789,3936,2133
6 Jun 2024,16162,20304,12176,7135,6197,3449,1968
5 Jun 2024,17192,22889,13095,7428,5999,3471,2039
4 Jun 2024,18091,24328,14416,8375,7163,3991,2049
3 Jun 2024,14508,20199,11514,7133,5893,3298,1782
2 Jun 2024,8300,11025,6183,3752,2966,1457,710
1 Jun 2024,7911,9831,5633,3172,2427,1340,714
31 May 2024,11416,13217,7702,4544,3676,2183,1274
30 May 2024,15706,16895,8685,4841,3889,2326,1416
29 May 2024,16271,18126,8960,4961,4089,2382,1331
28 May 2024,15652,18977,9127,4804,4054,2293,1447
27 May 2024,12478,13860,7180,3953,2983,1559,906
26 May 2024,12973,12667,6414,3336,2447,1176,683
25 May 2024,8227,9986,5457,2970,2378,1235,672
24 May 2024,15165,18687,9629,5247,4181,2604,1516
23 May 2024,33572,42965,20067,10383,8022,4574,2451
22 May 2024,31703,41841,19370,8895,6889,3428,1478
21 May 2024,1746,3266,1996,1071,672,422,228
20 May 2024,1788,3309,2022,1115,713,351,231
19 May 2024,1103,1961,1094,563,315,136,48
18 May 2024,1166,2121,1267,613,364,132,72
17 May 2024,1398,2583,1628,798,627,299,199
16 May 2024,1600,2830,1941,1006,746,406,222
15 May 2024,1581,3055,1894,1062,684,361,253
14 May 2024,1804,3407,2179,1105,803,427,294
13 May 2024,1857,3603,2327,1136,762,439,249
12 May 2024,1153,2254,1271,603,344,137,78
11 May 2024,1056,2001,1176,638,370,153,89
10 May 2024,1449,2580,1660,922,583,310,224
9 May 2024,1699,2999,2063,1103,745,419,258
8 May 2024,1887,3327,2234,1157,813,459,235
7 May 2024,2027,3670,2363,1272,820,480,293
6 May 2024,1908,3043,1764,868,543,245,125
5 May 2024,1698,2731,1548,787,470,218,115
4 May 2024,2269,3397,1958,992,631,258,116
3 May 2024,4528,5898,3449,1819,1204,563,277
2 May 2024,14756,17538,11030,5486,3165,1359,538
1 May 2024,5421,7475,4587,2307,1460,674,302
30 Apr 2024,3746,5706,3488,1857,1133,575,281
29 Apr 2024,3918,5839,3520,1919,1286,657,287
28 Apr 2024,2779,4355,2638,1274,827,338,155
27 Apr 2024,2488,3945,2298,1192,670,260,142
26 Apr 2024,3079,4560,2728,1363,861,465,222
25 Apr 2024,3346,4758,2950,1485,1023,486,250
24 Apr 2024,3697,5282,3333,1704,1098,553,321
23 Apr 2024,3712,5066,3236,1647,1068,582,315
22 Apr 2024,3770,5392,3302,1755,1191,580,362
21 Apr 2024,2802,3853,2305,1139,605,228,111
20 Apr 2024,2884,3864,2425,1140,653,257,120
19 Apr 2024,3304,4506,2808,1389,943,431,323
18 Apr 2024,3573,4790,2973,1530,1084,576,349
17 Apr 2024,7389,9894,4665,2243,1485,770,448
16 Apr 2024,52830,60213,19096,8928,6961,3694,1892
15 Apr 2024,11757,12843,6945,4252,3637,2249,1355
14 Apr 2024,5954,7272,3633,1922,1356,661,388
13 Apr 2024,5132,6253,3511,1922,1404,703,376
12 Apr 2024,5663,7511,4535,2582,2035,1255,828
11 Apr 2024,6421,8049,4815,2781,2269,1259,778
10 Apr 2024,5964,8221,4908,3050,2739,1620,993
9 Apr 2024,5838,8208,4908,2840,2584,1587,1010
8 Apr 2024,5960,8542,5142,3062,2698,1647,1094
7 Apr 2024,4061,5958,3427,1790,1444,664,325
6 Apr 2024,3795,5807,3526,1884,1394,780,446
5 Apr 2024,5131,7358,4601,2772,2359,1436,958
4 Apr 2024,5893,8315,5043,3124,2818,1662,1081
3 Apr 2024,6192,9359,5730,3566,3270,2030,1220
2 Apr 2024,6344,9145,5480,3552,3459,2255,1267
1 Apr 2024,3872,6064,3536,1982,1544,856,384
